Time,HR
14:47:46,112
14:48:01,112
14:48:16,112
14:48:31,112
14:48:46,112
14:49:01,112
14:49:16,112
14:49:31,112
14:49:46,112
14:50:01,112
14:50:16,112
14:50:31,112
14:50:46,112
14:51:01,112
14:51:16,112
14:51:31,112
14:51:46,112
14:51:50,112
14:52:05,112
14:52:20,112
14:52:35,112
14:52:50,112
14:53:05,112
14:53:20,112
14:53:35,112
14:53:50,112
14:54:05,112
14:54:20,112
14:54:35,112
14:54:50,112
14:55:05,112
14:55:20,112
14:55:35,112
14:55:50,112
14:56:05,112
14:56:20,112
14:56:35,112
14:56:50,112
14:57:05,112
14:57:20,112
14:57:35,112
14:57:50,112
14:58:05,112
14:58:20,112
14:58:24,112
14:58:39,112
14:58:54,112
14:59:09,112
14:59:24,112
14:59:39,112
14:59:54,112
15:00:09,112
15:00:24,112
15:00:39,112
15:00:54,112
15:01:09,112
15:01:24,112
15:01:39,112
15:01:54,112
15:02:09,112
15:02:24,112
15:02:39,112
15:02:54,112
15:03:09,112
15:03:24,112
15:03:39,112
15:03:54,112
15:04:09,112
15:04:24,112
15:04:39,112
15:04:54,112
15:04:57,112
15:05:12,112
15:05:27,112
15:05:42,112
15:05:57,112
15:06:12,112
15:06:27,112
15:06:42,112
15:06:57,112
15:07:12,112
15:07:27,112
15:07:42,112
15:07:57,112
15:08:12,112
15:08:27,112
15:08:42,112
15:08:57,112
15:09:12,112
15:09:27,112
15:09:42,112
15:09:57,112
15:10:12,112
15:10:27,112
15:10:42,112
15:10:57,112
15:11:12,112
15:11:27,112
15:11:31,112
15:11:46,112
15:12:01,112
15:12:16,112
15:12:31,112
15:12:46,112
15:13:01,112
15:13:16,112
15:13:31,112
15:13:46,112
15:14:01,112
15:14:16,112
15:14:31,112
15:14:46,112
15:15:01,112
15:15:16,112
15:15:31,112
15:15:46,112
15:16:01,112
15:16:16,112
15:16:31,112
15:16:46,112
15:17:01,112
15:17:16,112
15:17:31,112
15:17:46,112
15:18:01,112
15:18:04,112
15:18:19,112
15:18:34,112
15:18:49,112
15:27:48,70
15:28:03,70
15:28:18,70
15:28:33,70
15:28:48,70
15:29:03,70
15:29:18,70
15:29:33,70
15:29:48,70
15:30:03,70
15:30:18,70
15:30:33,70
15:30:48,70
15:31:03,70
15:31:18,70
15:31:33,70
15:31:48,70
15:32:03,70
15:32:18,70
15:32:33,70
15:32:48,70
15:33:03,70
15:33:18,70
15:33:33,70
15:33:48,70
15:34:03,70
15:34:18,70
15:34:21,70
15:34:36,70
15:34:51,70
15:35:06,70
15:35:21,70
15:35:36,70
15:35:51,70
15:36:06,70
15:36:21,70
15:36:36,70
15:36:51,70
15:37:06,70
15:37:21,70
15:37:36,70
15:37:51,70
15:38:06,70
15:38:21,70
15:38:36,70
15:38:51,70
15:39:06,70
15:39:21,70
15:39:36,70
15:39:51,70
15:40:06,70
15:40:21,70
15:40:36,70
15:40:51,70
15:40:54,70
15:41:09,70
15:41:24,70
15:41:39,70
15:41:54,70
15:42:09,70
15:42:24,70
15:42:39,70
15:42:54,70
15:43:09,70
15:43:24,70
15:43:39,70
15:43:54,70
15:44:09,70
15:44:24,70
15:44:39,70
15:44:54,70
15:45:09,70
15:45:24,70
15:45:39,70
15:45:54,70
15:46:09,70
15:46:24,70
15:46:39,70
15:46:54,70
15:47:09,70
15:47:24,70
15:47:28,70
15:47:43,70
15:47:58,70
15:48:13,70
15:48:28,70
15:48:43,70
15:48:58,70
15:49:13,70
15:49:28,70
15:49:43,70
15:49:58,70
